chunk,chunk_size,local_tokens,context_len,case,cache,timing,mean_us,median_us,queries_per_second,p05_us,p95_us,l2_flush_bytes,speedup_vs_trtllm
0,16384,512,16384,trtllm/native,cold,cuda-event,107.02272020280361,106.9600023329258,4786836.096042133,104.50879856944084,108.83360169827938,268435456,1.0
0,16384,512,16384,flashmla-prefill/native,cold,cuda-event,126.05056084692478,125.71199983358383,4072801.32905196,124.95999783277512,127.07200646400452,268435456,0.8508336712049628
0,16384,512,16384,flashmla-decode/native,cold,cuda-event,175.15328153967857,175.07199943065643,2924511.0678181066,174.46400225162506,176.41599476337433,268435456,0.6109486535868984
0,16384,1024,16384,trtllm/native,warm,cuda-event,203.0201594531536,202.55999267101288,5055292.441993351,201.27999782562256,203.36160585284233,0,1.0
0,16384,1024,16384,flashmla-prefill/native,warm,cuda-event,247.34112083911896,247.74399399757385,4133298.9893189017,245.3871987760067,248.3839988708496,0,0.8176181767417399
0,16384,1024,16384,flashmla-decode/native,warm,cuda-event,363.33440124988556,363.072007894516,2820377.164128568,362.6864045858383,364.76799845695496,0,0.5579058375931394
0,16384,1024,16384,trtllm/native,cold,cuda-event,202.91103959083557,202.91200280189514,5046522.560815393,201.74239426851273,203.4416064620018,268435456,1.0
0,16384,1024,16384,flashmla-prefill/native,cold,cuda-event,246.73695906996727,246.48000299930573,4154495.2431815914,244.09599602222443,248.32479879260063,268435456,0.8232392093993389
0,16384,1024,16384,flashmla-decode/native,cold,cuda-event,363.7708795070648,363.5199964046478,2816901.4363109395,362.9424065351486,364.9312064051628,268435456,0.5581866329466678
0,16384,2048,16384,trtllm/native,warm,cuda-event,405.1340785622597,404.1920006275177,5066898.891666414,403.5840034484863,405.8752119541168,0,1.0
0,16384,2048,16384,flashmla-prefill/native,warm,cuda-event,517.0700794458389,516.0959959030151,3968253.99975562,512.2831761837006,524.059197306633,0,0.7831721304489128
0,16384,2048,16384,flashmla-decode/native,warm,cuda-event,741.4169591665268,740.6559884548187,2765116.372410093,738.9664024114609,743.8080221414566,0,0.545721639908369
0,16384,2048,16384,trtllm/native,cold,cuda-event,404.66559886932373,404.4640064239502,5063491.355157402,403.48801016807556,405.7599902153015,268435456,1.0
0,16384,2048,16384,flashmla-prefill/native,cold,cuda-event,504.9680006504059,500.62400102615356,4090894.555199339,497.6640045642853,513.6223912239075,268435456,0.8079197273700431
0,16384,2048,16384,flashmla-decode/native,cold,cuda-event,740.1411199569702,740.30402302742,2766431.0017185253,739.358377456665,741.2864178419113,268435456,0.5463485187746566
0,32768,512,32768,trtllm/native,warm,cuda-event,105.87328046560287,105.0880029797554,4872107.0482101925,104.60799932479858,106.81760124862194,0,1.0
0,32768,512,32768,flashmla-prefill/native,warm,cuda-event,126.19359873235226,125.75999647378922,4071246.9334929613,125.05439892411232,127.5536023080349,0,0.8356234567934148
0,32768,512,32768,flashmla-decode/native,warm,cuda-event,174.6118399500847,174.57599937915802,2932820.1002475587,173.98080602288246,174.8799979686737,0,0.6019613426443399
0,32768,512,32768,trtllm/native,cold,cuda-event,106.94623999297619,106.81600123643875,4793289.339362935,105.15200346708298,108.61440002918243,268435456,1.0
0,32768,512,32768,flashmla-prefill/native,cold,cuda-event,126.08863979578018,125.72799623012543,4072283.14577498,124.92799758911133,127.13920697569847,268435456,0.8495800811215409
0,32768,512,32768,flashmla-decode/native,cold,cuda-event,175.14944091439247,175.10400712490082,2923976.489211883,174.62239637970924,176.15999281406403,268435456,0.6100146021229967
0,32768,1024,32768,trtllm/native,warm,cuda-event,203.3740809559822,202.86399871110916,5047716.728970916,201.47199928760529,203.42400670051575,0,1.0
0,32768,1024,32768,flashmla-prefill/native,warm,cuda-event,246.44479990005493,246.3040053844452,4157463.856106128,244.22239735722542,248.35680574178696,0,0.8236325608853481
0,32768,1024,32768,flashmla-decode/native,warm,cuda-event,363.0198401212692,362.9760146141052,2821123.0460741506,362.36638873815536,363.23358714580536,0,0.5588909199049481
0,32768,1024,32768,trtllm/native,cold,cuda-event,203.13472017645836,203.10400426387787,5041751.902978699,202.55839303135872,204.70720157027245,268435456,1.0
0,32768,1024,32768,flashmla-prefill/native,cold,cuda-event,246.1647991836071,246.07999622821808,4161248.4382937322,243.71199309825897,248.22720512747765,268435456,0.8253576372600248
0,32768,1024,32768,flashmla-decode/native,cold,cuda-event,363.3868795633316,363.48798871040344,2817149.4844519794,362.7200126647949,363.9952138066292,268435456,0.5587640047872229
0,32768,2048,32768,trtllm/native,warm,cuda-event,404.96896058321,404.1920006275177,5066898.891666414,403.4848093986511,405.8256059885025,0,1.0
0,32768,2048,32768,flashmla-prefill/native,warm,cuda-event,511.3667172193527,511.34398579597473,4005131.686084107,508.89439284801483,513.9024019241333,0,0.7904502875854484
0,32768,2048,32768,flashmla-decode/native,warm,cuda-event,740.0959986448288,739.7440075874329,2768525.2992846174,738.6543840169907,741.7328059673309,0,0.5463944235867905
0,32768,2048,32768,trtllm/native,cold,cuda-event,407.6851198077202,405.5359959602356,5050106.575991381,403.7408113479614,416.06559455394745,268435456,1.0
0,32768,2048,32768,flashmla-prefill/native,cold,cuda-event,505.1705604791641,505.2960216999054,4053069.7097320594,497.6319968700409,513.8367861509323,268435456,0.8025711237463153
0,32768,2048,32768,flashmla-decode/native,cold,cuda-event,739.682559967041,739.6319806575775,2768944.6286235545,738.6159777641296,740.447998046875,268435456,0.5482942957654287
0,32768,4096,32768,trtllm/native,warm,cuda-event,833.736959695816,850.2399921417236,4817463.349003762,805.3743928670883,866.6559845209122,0,1.0
